Name,Credentials
'mira' Mary Elizabeth Tessman,"Counselor, MA, LCPC, RYT-500, C-IAYT"
"1 Serving Others, LLC","Marriage & Family Therapist, DMFT, LCMFT"
2Twenty Coaching,"MS-MPA, MA-HWC, ICF-ACC, NBC-HWC"
3 Roads Therapy,"Clinical Social Work/Therapist, LCSW-C, LICSW"
A Balanced Perspective LLC,"Licensed Clinical Professional Counselor, LCPC, LPC, NCC"
"A Brighter Tomorrow Counseling, LLC","Licensed Professional Counselor, LPC"
A Caring Approach,"Licensed Clinical Professional Counselor, PhD, LPC"
"A Change Will Come Counseling Services, LLC","Clinical Social Work/Therapist, LCSW-C"
"A Day for Change, LLC","Clinical Social Work/Therapist, LCSW-C"
A New Day Recovery Services,"Clinical Social Work/Therapist, LCSW-C, CAC-AD"
A Renee Wheeler,"Psychologist, PsyD"
A Step Ahead Preventive & Holistic Wellness Ctr,"Psychologist, PhD"
A Village Wellness Center,"Drug & Alcohol Counselor, CADC/S"
A. Nikki Young,"Licensed Professional Counselor, LPC, LCPC"
A.M. Day Counseling Services LLC,"Clinical Social Work/Therapist, MSW, LCSW-C"
Aaliyah Rivers,"Licensed Master Social Worker, LMSW"
Aanchal Mohanty,"Pre-Licensed Professional, LGPC"
Aaron Pearl,"Licensed Clinical Professional Counselor, LPC, LCPC"
Aaron Schneider,"Licensed Clinical Professional Counselor, MA, LCPC"
Aaron Sterling,"Clinical Social Work/Therapist, LMSW"
Aaron T Heaton,"Psychologist, PsyD"
Aaryn Kopp,"Clinical Social Work/Therapist, LGSW, LMSW"
Aayesha Aijaz,"Counselor, LGPC"
Abba Florans,"Clinical Social Work/Therapist, LCSW-C"
Abbey Becker,"Clinical Social Work/Therapist, LMSW"
Abbey Peko-Spicer,"Clinical Social Work/Therapist, LCSW-C"
Abbie Miller,"Clinical Social Work/Therapist, LCSW-C"
Abby Brown,"Psychologist, PhD"
Abby Hall,"Counselor, MA, LCPC, NCC"
Abby McClintock,"Clinical Social Work/Therapist, MSW, LCSW-C"
"Abby McNair, EMDR","Counselor, LGPC, MA"
Abby Miller,Pre-Licensed Professional
Abby Plusen,"Clinical Social Work/Therapist, LMSW, MSSW, CLC"
Abby Rosen,"Psychologist, PhD"
Abby Shahar,"Licensed Clinical Professional Counselor, LCPC, LCPAT, ATR-BC"
Abena Adoko Sando,"Clinical Social Work/Therapist, LCSW-C"
Abena Brown-Elhillali,"Psychologist, PhD"
Abena G Cassell-Swaby,"Clinical Social Work/Therapist, LCSW-C"
Abhik Saha,"Counselor, MA, LCPC, NCC"
Abi Stefanelli,"Clinical Social Work/Therapist, LMSW"
Abide Inclusive Therapy,"Clinical Social Work/Therapist, DSW, LCSW"
Abigael Davis,"Clinical Social Work/Therapist, LCSW"
Abigail Barberio,"Licensed Professional Counselor, MS, LCPC"
Abigail D Garcia-Garwicki,"Marriage & Family Therapist, LCMFT"
Abigail Osei-Tutu,"Clinical Social Work/Therapist, LICSW"
Abigail Siegrist,"Clinical Social Work/Therapist, LCSW-C"
Abimelec Torres Serrano,"Counselor, MS, NCC, LCPC"
Abisola Osifade,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW"
Above It All SOAR Program,Licensed Clinical Professional Counselor
Abraham Shanklin Jr,"Pastoral Counselor, PhD, LCPC, BCCC, LCPT"
Abyssinia 'Aby' Washington,"Licensed Professional Counselor, PsyD, MEd"
"Accepting Clients! Children, Adults, Psych Meds!","Counselor, #1, MD, 5, Star, Review"
"Accepting Clients! Children, Adults, Psych Meds!",Counselor
"Accepting Clients! Children, Adults, Psych Meds!",Licensed Professional Counselor
"Accepting Clients! Children, Adults, Psych Meds!","Counselor, LCPC"
Accepting New Clients! Children & Adults Welcome!,Counselor
"Accepting New Clients! Children, Adults & Couples!",Counselor
"Accepting New Clients! Children, Adults & Couples!","Counselor, LCPC"
"Accepting New Clients! Children, Adults & Couples!","Licensed Clinical Professional Counselor, LCPC"
Accepting New Clients! Contact Us to Schedule!,"Counselor, #, 1, MD"
Accepting New Clients! Contact Us to Schedule!,Counselor
Accepting New Clients! Contact Us to Schedule!,"Counselor, LCPC"
Accepting New Clients! Nights and Weekends!,"Counselor, #1, MD, 5, Star, Rating"
Accepting New Clients! Nights and Weekends!,Counselor
Accepting New Clients! Nights and Weekends!,Licensed Professional Counselor
Accepting New Clients! Nights and Weekends!,"Counselor, LCPC"
Accepting New Clients! Start Your Healing Journey,"Licensed Clinical Professional Counselor, #1, in, MD, 5 Star, Rating"
Accepting New Clients! Start Your Healing Journey,Licensed Professional Counselor
Accepting New Clients! Start Your Healing Journey,Counselor
Accepting New Clients! Start Your Healing Journey,"Counselor, LCPC"
Access Health Services,PMHNP
Access to Clarity LLC (Christian Counseling),"Clinical Social Work/Therapist, LCSW -C"
Achieve Empowerment Life Coaching,"CPC, BFA"
Achieving Joy,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Achieving Joy Hampton Roads,"Clinical Social Work/Therapist, LICSW, LCSW-C, LCSW"
Achieving Wellness,"Clinical Social Work/Therapist, LCSW-C, CAC-AD"
Active Psychology & Wellness,"Psychologist, PsyD"
ActNow for Mental Health,"Clinical Social Work/Therapist, LCSW, LICSW , LCSW-C"
Adalia Dominique,"Counselor, LGPC"
Adam Angel,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Adam Baldridge,Pre-Licensed Professional
Adam Bloom,"Counselor, MS, LPC, LCPC, NCC, MAC"
Adam Freitag,"Clinical Social Work/Therapist, LCSW"
Adam G Thomas,"Psychologist, PsyD"
Adam J. Freitag,"Clinical Social Work/Therapist, LCSW, LCSW-C"
Adam Lebowitz,"Clinical Social Work/Therapist, LCSW-C"
Adam M. Epstein,"Psychologist, PsyD"
Adam Scott,"Clinical Social Work/Therapist, LMSW"
Adam Wayne Buttrick,"Licensed Clinical Professional Counselor, MA, LCPC"
Adana Royal Massey,"Licensed Clinical Professional Counselor, LCPC, NCC"
Addiction Treatment of Maryland,N/A
"ADDvantage Counseling, LLC.","Licensed Professional Counselor, LPC, CCTP"
Adela Lourdes Leon,"Licensed Clinical Professional Counselor, LCPC, GC-C"
Adelaide Ayukegba,"Clinical Social Work/Therapist, LCSW-C"
Adele Feild,"Counselor, LCPC"
Adele Gordon,"Clinical Social Work/Therapist, LCSW-C"
Adele Natter,"Clinical Social Work/Therapist, MSW, LICSW, LCSW-C"
Adelle Deriquito,"Counselor, LCPC, MA, NCC"
Adena Miller,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW"
Adenike Jacobs,"Licensed Master Social Worker, LMSW"
Adeola Daniyan,"Counselor, MSc, LGPC"
Adesola Ogin,LMSW
Adiat Saba  of Ready. Set. Grow!,"Clinical Social Work/Therapist, LMSW"
Adina Tabor Coaching LLC,"Clinical Social Work/Therapist, LCSW, LICSW"
Adona Wimberly,"Psychologist, PhD, LCADC"
Adria J. Williams,"Psychologist, PhD, PSYPACT"
Adrian S Hosler,"Counselor, MA, LGPC, NCC"
Adrian Stanley,"Licensed Clinical Professional Counselor, MS, LCPC"
Adrian Stanley,Licensed Clinical Professional Counselor
Adrian V. Burnim,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Adriana Couto Silva,"Licensed Professional Counselor, LCP"
Adrianna Crouch,"Licensed Clinical Professional Counselor, MS, LCPC, LMHC, NCC"
Adrienne Gardner,"Clinical Social Work/Therapist, LCSW -C"
Adrienne Kilby,"Clinical Social Work/Therapist, LCSW-C"
Adrienne Londeree,"Clinical Social Work/Therapist, LCSW-C, PMH-C"
Adrienne Reyes-Pena,"Pre-Licensed Professional, PsyD"
Adrienne Ward Noel,"Clinical Social Work/Therapist, LCSW-C"
Adrienne Washington,"Licensed Clinical Professional Counselor, LCPC"
"Adult & Adolescent Counseling Services, LLC","Licensed Clinical Professional Counselor, MS, LCPC"
Adult Columbia Personal Therapy/Career Counseling,"Licensed Clinical Professional Counselor, MA, LCPC, NCC"
"Advanced Behavioral Health Counseling Services,LLC","Licensed Clinical Professional Counselor, LCPC, LCADC, NCC, MAC"
Advanced Mind/Body Solutions by R.Y. Donowitz,"Counselor, LCPC, BCB, CHC"
Aerie Treska,"Pre-Licensed Professional, MSWInt, MA"
Afa Alizada,"Counselor, LGPC, NCC, MEd"
Afiya Cozier,"Licensed Clinical Professional Counselor, LCPC"
African American Marriage Counseling,"Psychologist, PhD"
After We Say I Do - Marriage Therapy,"Psychologist, PsyD"
Afua Agyeman - NOCD,"Licensed Professional Counselor, MA, LPC"
Agnes Macharia,"Counselor, MS, LCPC, NCC"
Agneta Mitchell,"Psychologist, PhD"
Ahuva Chefitz,"Clinical Social Work/Therapist, LMSW"
"Aidan Counseling Services, LLC","Counselor, MA, DMin, LCPC, LPC"
Aiesha Hogg,"Clinical Social Work/Therapist, LCSW-C"
Aiesha Smith,"Licensed Professional Counselor, LPC, NCC"
"AIM Wellness, LLC","Clinical Social Work/Therapist, LCSW-C"
Aimee Ascolese,"Clinical Social Work/Therapist, LCSW-C"
Aimee Block,"Clinical Social Work/Therapist, LCSW"
Aimee Kopta,Clinical Social Work/Therapist
Aimee Lyons,"Clinical Social Work/Therapist, LCSW-C"
Aimee Sullivan,"Clinical Social Work/Therapist, LMSW"
Ainigriv Crockett,"Licensed Clinical Professional Counselor, LCPC"
Ainisha Bikira Persaud,"Marriage & Family Therapist, MS, LCMFT"
Aisha Meertins,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Aisha Yusuf,Pre-Licensed Professional
Aissatou Sow,"Clinical Social Work/Therapist, LMSW"
Aiysha Taylor,"Clinical Social Work/Therapist, LCSW, LCSW-C"
Ajunwa 'ajuu' Nwogu,"Psychologist, PsyD"
Akiba E Freeman,"Clinical Social Work/Therapist, LCSW-C"
Akiba Freeman,Clinical Social Work/Therapist
Akiko Motomura,"Psychologist, PhD"
Akili Wellness Services LLC,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW, CPC"
Akoma Counseling Concepts,"Licensed Clinical Professional Counselor, LCPC, LPC, NCC, PMH-C"
Alaina Skloff,"Clinical Social Work/Therapist, LCSW-C"
Alan Kutner,"Clinical Social Work/Therapist, LMSW"
Alan L Marcus,"Psychologist, PhD"
Alan Nathan,"Psychologist, PsyD"
Alana Amballa,"Clinical Social Work/Therapist, LMSW"
Alana Kearney - NOCD,"Counselor, MA, LMHC, LCPC"
Alana L Pedigo,"Clinical Social Work/Therapist, MSW, LCSW-C, LICSW"
Alana O'Neill,"Registered Psychotherapist, LGPC, CAC-AD, SAP"
Alana Prato-Shein,"Clinical Social Work/Therapist, LCSW-C"
Alana Riss Fine,"Psychologist, PhD"
Alana Serfaty,"Clinical Social Work/Therapist, LCSW-C"
Alana Tipton,"Clinical Social Work/Therapist, LCSW-C"
Alanna Hay Thomas,"Clinical Social Work/Therapist, LCSW-C"
Alayna Berkowitz,"Psychologist, PhD"
Alayna Greenbaum,"Clinical Social Work/Therapist, LMSW"
Alayne Holland,"Clinical Social Work/Therapist, MSW, LCSW-C"
Albena Tzaneff,"Counselor, MA, LPC, CCM"
Albertina Munoz,"Clinical Social Work/Therapist, MSW, LCSW-C, LICSW, LCSW, CFSW"
Albina Galimullina,"Pre-Licensed Professional, BA"
Alby Gyimah-Boadi,"Licensed Clinical Professional Counselor, MA, LCPC, ATR"
Alchemy Green,"Clinical Social Work/Therapist, MSW, LCSW-C, CAADC, SAP"
Aleata G Dawkins,"Counselor, MA, LPC, LCPC, NCC"
Alec Peer,Clinical Social Work/Therapist
